"stimulus","stimulus_mean","sd","stimulus_rank","stimuli_decile"
"'07",9073.01990384311,8758.9870391499,7,3
"'015",10058.9005140175,10154.0259954302,10,4
"'019",18689.5928217788,16537.6385177652,24,8
"'02",16703.3414000042,16544.8578692022,21,7
"'022",14884.2768932051,13008.6462660433,20,7
"'024",42331.3356626515,20968.6212697906,29,10
"'08",13094.9308095313,14482.7473967742,19,7
"'013",11370.7511500029,10899.770024881,17,6
"'04",11205.3977669808,11506.8305568214,14,5
"'011",4420.15759259342,3984.489242115,1,1
"'014",7623.72392523264,9523.08643496249,5,2
"'029",9233.34693395757,8581.34549269962,8,3
"'09",10593.6435714238,11138.5577207414,12,4
"'012",43178.7997674437,19600.6669844498,30,10
"'021",21602.3394339648,17202.9004396782,25,9
"'027",10213.9562380961,11899.1034441733,11,4
"'017",6049.5834615527,7093.34342646264,2,1
"'016",17208.0221428569,17595.6675212592,22,8
"'030",9489.23221153467,10201.7799054372,9,3
"'018",11249.328428571,9210.51933476525,16,6
"'020",24998.5468627442,19147.5382746814,26,9
"'06",11212.9546261755,9324.4939440331,15,5
"'05",11161.2098484901,9037.24778128861,13,5
"'023",18605.2881818203,14860.1508923838,23,8
"'03",12353.4553809453,14424.3481216706,18,6
"'010",8543.55504672598,9217.84589234616,6,2
"'026",6490.25128571876,4952.58498822449,3,1
"'01",6920.67266355299,7453.12184133482,4,2
"'028",33454.407149999,20664.8318247507,28,10
"'025",33202.5624489712,21032.6797399175,27,9
