"stimulus","stimulus_mean","sd","stimulus_rank","stimuli_decile"
"'028",30869.7101595794,21033.6778885059,28,10
"'07",9547.3317742023,9465.14967536097,11,4
"'03",11648.8023437344,13943.9450550849,19,7
"'027",7592.4407142882,5730.11473921491,5,2
"'05",7634.92639175423,5763.79553159459,6,2
"'04",10669.4161170173,8805.77755205148,16,6
"'026",7674.23081632904,8550.42921653109,7,3
"'018",10246.2577604336,9771.62399544127,13,5
"'06",11245.4263020735,9891.88654204344,18,6
"'013",10346.6664285882,11477.287534968,14,5
"'019",16837.8756593466,15403.6171776129,22,8
"'010",8583.69572916396,8654.92077484064,9,3
"'08",9853.07869565724,10190.6062319173,12,4
"'017",6587.44826530644,7057.8420225548,2,1
"'09",8680.14329897811,7262.32674626588,10,4
"'012",37146.8444381994,20630.1839599621,30,10
"'030",11027.2073157799,11010.2454716445,17,6
"'016",12127.538489581,11432.8780156869,20,7
"'023",18405.7790104317,15213.0444194546,23,8
"'014",6681.59552631735,7029.43979431184,3,1
"'021",20439.1117934588,15460.4653554311,25,9
"'015",10426.6711578932,9410.8368301625,15,5
"'02",18615.8213587025,18899.9094885026,24,8
"'020",20538.4475555608,18438.1473871373,26,9
"'011",4603.92572166249,4215.68737650941,1,1
"'022",13684.4100000046,11732.8911855736,21,7
"'029",8208.83654639284,5894.29661577387,8,3
"'01",6930.76587628813,5330.82775698408,4,2
"'025",28407.2636627731,19804.8734694824,27,9
"'024",32584.6590109717,21694.6371959091,29,10
